date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:04:20	20037/20037	---M--	200	added ('OK')	image/png	etag:%22068b2104cabd61:0%22	http://sale.fico-ytl.com/Content/Images/picture15.png	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/picture15.png	(from http://sale.fico-ytl.com/Guide)
12:04:24	18715/18715	---M--	200	added ('OK')	image/png	etag:%2203b81f4cabd61:0%22	http://sale.fico-ytl.com/Content/Images/picture6.png	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/picture6.png	(from http://sale.fico-ytl.com/Guide)
12:04:35	110913/110913	---M--	200	added ('OK')	image/png	etag:%2203b81f4cabd61:0%22	http://sale.fico-ytl.com/Content/Images/picture5.png	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/picture5.png	(from http://sale.fico-ytl.com/Guide)
12:04:40	99655/99655	---M--	200	added ('OK')	image/png	etag:%2203b81f4cabd61:0%22	http://sale.fico-ytl.com/Content/Images/picture7.png	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/picture7.png	(from http://sale.fico-ytl.com/Guide)
12:04:45	25987/25987	---M--	200	added ('OK')	image/png	etag:%22068b2104cabd61:0%22	http://sale.fico-ytl.com/Content/Images/picture10.png	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/picture10.png	(from http://sale.fico-ytl.com/Guide)
12:04:46	2140/2140	---M--	200	added ('OK')	image/png	etag:%22068b2104cabd61:0%22	http://sale.fico-ytl.com/Content/Images/picture11.png	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/picture11.png	(from http://sale.fico-ytl.com/Guide)
12:04:49	17933/17933	---M--	200	added ('OK')	image/png	etag:%22068b2104cabd61:0%22	http://sale.fico-ytl.com/Content/Images/picture12.png	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/picture12.png	(from http://sale.fico-ytl.com/Guide)
12:04:56	41898/41898	---M--	200	added ('OK')	image/png	etag:%22068b2104cabd61:0%22	http://sale.fico-ytl.com/Content/Images/picture13.png	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/picture13.png	(from http://sale.fico-ytl.com/Guide)
12:05:00	20393/20393	---M--	200	added ('OK')	image/png	etag:%22068b2104cabd61:0%22	http://sale.fico-ytl.com/Content/Images/picture14.png	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/picture14.png	(from http://sale.fico-ytl.com/Guide)
12:05:40	639015/639015	---M--	200	added ('OK')	image/png	etag:%2203b81f4cabd61:0%22	http://sale.fico-ytl.com/Content/Images/image-01.PNG	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/image-01.png	(from http://sale.fico-ytl.com/Guide)
12:05:54	662921/662921	---M--	200	added ('OK')	image/png	etag:%2203b81f4cabd61:0%22	http://sale.fico-ytl.com/Content/Images/image-02.PNG	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/image-02.png	(from http://sale.fico-ytl.com/Guide)
12:06:38	1896039/1896039	---M--	200	added ('OK')	image/png	etag:%22095e3114cabd61:0%22	http://sale.fico-ytl.com/Content/Images/login-img.PNG	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/login-img.png	(from http://sale.fico-ytl.com/Guide)
